"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IRAK1BP1",-1.37598560929439,0.753515928899311,-1314.88623283431,1.69094925564817e-96,3.88613653257522e-95,210.844202299765
"CENPJ",-1.3737392676979,0.752285789453612,-1118.51652063628,1.28787806949648e-93,2.16315667888775e-92,204.524697753906
"SSR3",-1.37240298361934,0.751554014839161,-1220.23438382973,3.62364436533869e-95,7.20305203323038e-94,207.943243643238
"FBLN1",-1.37209739841803,0.751386670562252,-1192.25367652635,9.38518288605833e-95,1.76041187811285e-93,207.03598607078
"CECR2",-1.3720085286264,0.777511340986055,-58.5092193547245,3.77137554288406e-41,4.58423396278458e-41,82.0778596874232
"TNFSF13",-1.3716232752161,0.842798011236748,-16.7145420900437,6.46702303717609e-20,6.55785441943933e-20,32.0567679183492
"C17orf77",-1.37077953327253,0.750664982506387,-1181.57192247584,1.35763857280815e-94,2.49160863254214e-93,206.683232908238
"ZWILCH",-1.37064964684019,0.750593854222008,-1386.44752548784,1.92288623415971e-97,4.92168841137934e-96,212.88103653158
"LINC00909",-1.36542436230655,0.747732388882159,-1337.86720499411,8.30677646282486e-97,1.95605416215381e-95,211.512161887461
"CEP19",-1.36115880045073,0.745396485961114,-680.478121801229,9.19839789163698e-85,9.80436477224203e-84,184.453376958971
"LTF",-1.35858966877785,0.743989580521203,-1027.65079059787,4.16300886818731e-92,6.27155647012549e-91,201.162263541488
"FECH",-1.35391001083742,0.741426910696684,-615.753596236666,5.55029780511637e-83,5.55974202913031e-82,180.341815986006
"CA1",-1.35153428968833,1.0080737756068,-31.1781412576015,3.43236240370296e-30,3.569974106488e-30,56.2455087160716
"TIMP1",-1.34570413467804,0.736933216609403,-979.198453095852,3.01899918363735e-91,4.34293247225125e-90,199.232184147795
"ZNF264",-1.34397995644251,0.735989023766138,-970.711332282884,4.31475181477031e-91,6.11496215526615e-90,198.883344142782
"GGTLC1",-1.3437162405144,0.810164512740515,-20.1921531575825,6.32529118076823e-23,6.43288417361053e-23,39.1354786556892
"ERLIN1",-1.34118927362694,0.734460792700465,-807.33599537255,8.28406957453335e-88,9.96823654935593e-87,191.439312837504
"ACKR3",-1.33925485535897,0.733401468410862,-1196.79385973468,8.03018674321854e-95,1.51740788014448e-93,207.184835616558
"TF",-1.33818438196851,0.788499935957711,-26.834448986884,1.21962657618255e-27,1.25420615258332e-27,50.2364276046922
"PLA2G7",-1.33634151781752,0.731806069281023,-1339.6241477673,7.87137391063116e-97,1.8650038556675e-95,211.562677365067
"ADTRP",-1.33541029756658,0.73129611533408,-734.739652297529,3.95277208384759e-86,4.41614084053804e-85,187.596729913444
"ZNF318",-1.33418255120865,0.730623778042831,-840.13713290244,1.61705678543416e-88,2.01224968763051e-87,193.056672091574
"HSPH1",-1.33345277424463,0.73022413827682,-1231.36310096003,2.49685837580673e-95,5.1092131417243e-94,208.297511991291
"ATXN1",-1.33252284882829,0.729714893405966,-974.746768439609,3.63952144539567e-91,5.19650328761437e-90,199.049623614068
"C1QTNF9B-AS1",-1.32810724013002,0.727296821975966,-1223.95301556657,3.1984027677188e-95,6.44141483719788e-94,208.06203078635
"EVC",-1.31630242009034,0.72083227766852,-877.427608614042,2.72265585542869e-89,3.53160767145691e-88,194.815279908007
"CEACAM7",-1.314635031965,0.71991918417131,-935.275840376016,1.98378127917975e-90,2.73055362042494e-89,197.390045877558
"C8orf4",-1.3118203560102,0.718377814005585,-1148.59445245569,4.33616947241516e-94,7.59375399825932e-93,205.570985285593
"TFRC",-1.31039444676979,0.717596958945362,-1195.24164491635,8.46931091870147e-95,1.59644424780351e-93,207.134018659639
"SNRPB",-1.30883908273327,0.716745211972982,-1044.27353131431,2.15539902057837e-92,3.29905374089726e-91,201.80144564478
"TFG",-1.30581084837986,0.715086893160398,-1119.08158573914,1.26146840205535e-93,2.12643561253956e-92,204.544643876515
"ANKRA2",-1.30055810586195,0.712210391305353,-966.904188659824,5.06953631560828e-91,7.14496527133521e-90,198.725777973033
"NSUN7",-1.2980078594332,0.710813827784846,-1255.8620899527,1.11276096310058e-95,2.32676493186031e-94,209.064651851138
"ZNF630",-1.29774753038186,0.710671266637685,-1210.66962072333,5.00436388350686e-95,9.72040527930914e-94,207.635801297313
"SCGB2A1",-1.2886441430916,1.50581800721248,-333.838589191819,4.46017442901652e-72,3.10024658540085e-71,154.904564006377
"RLN2",-1.271183466662,0.696124279362523,-674.503154445529,1.32078197929901e-84,1.39805594572272e-83,184.091289915466
"ELN",-1.27007369282701,0.695516546071936,-1173.88976393295,1.77418109228571e-94,3.22513251763955e-93,206.427295817625
"KIAA1324",-1.26989546816918,0.695418946854549,-1239.88605814348,1.8814876627774e-95,3.90217481930499e-94,208.566361898036
"ATP6V1H",-1.26594302879611,0.693254515769296,-623.415519514131,3.34201979784042e-83,3.35649311192556e-82,180.851437859108
"ATF6",-1.26523414506569,0.692866317535972,-950.409769683347,1.02686929395796e-90,1.42624876708898e-89,198.035219079174
"CHN2",-1.26391727027999,0.692145171819995,-1256.35649377035,1.09493755314558e-95,2.29576906691044e-94,209.079955942091
"DOPEY2",-1.26046734089807,0.690255924777515,-588.544042388305,3.54374707009448e-82,3.45922147033585e-81,178.477325443602
"TMPRSS2",-1.259275541568,0.689603272763429,-1101.98258423838,2.37247398357832e-93,3.92149965363389e-92,203.936024143396
"CASC5",-1.2554585591046,0.687513020462041,-904.072251378059,7.98051834458653e-90,1.07337270458912e-88,196.023305064208
"ATOH1",-1.25337044313689,1.28128957558951,-12.3415715665885,2.1449478717213e-15,2.16760676908532e-15,21.4429752554518
"CBX1",-1.25185110869307,0.685537511903348,-674.520828414371,1.31936308183673e-84,1.39805594572272e-83,184.092365908436
"XKRX",-1.24449365973933,0.681508432714392,-1061.94765444087,1.08271676960967e-92,1.70494474029276e-91,202.468831151741
"RNF113A",-1.24125499317766,0.679734877216338,-1214.86479724098,4.34228966362816e-95,8.54281305803246e-94,207.770987648451
"PMP22",-1.24015150966782,0.679130588627615,-1119.10974353273,1.26016698388262e-93,2.12643561253956e-92,204.545637517785
"SIVA1",-1.23916471083689,0.678590198791628,-852.067542584611,9.06795972953057e-89,1.14139960213976e-87,193.628263660797
"EDAR",-1.23688334759873,1.10609157229349,-18.6290356288768,1.25493802803758e-21,1.27442154041555e-21,36.082725909831
"TRIO",-1.23564777599696,0.676664258284051,-1005.79442917709,1.00557463019956e-91,1.49140748932504e-90,200.304274562119
