1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
ABCA1,9.326167106628418,9.306435585021973,9.299203872680664,9.286961555480957,9.305891036987305,9.331330299377441,9.297947883605957,9.279821395874023,9.298666000366211,9.29409408569336,9.299705505371094,9.311362266540527,9.310504913330078,9.30925464630127,9.313644409179688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA2,1.2457075119018555,1.2568904161453247,1.2378745079040527,1.2511568069458008,1.2525053024291992,1.241942048072815,1.2396502494812012,1.2650485038757324,1.2543909549713135,1.2402043342590332,1.261238694190979,1.2394702434539795,1.2433452606201172,1.2730684280395508,1.2615801095962524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA5,3.2513620853424072,3.261353015899658,3.256603717803955,3.2690842151641846,3.2517242431640625,3.2514328956604004,3.26267147064209,3.251063823699951,3.258864402770996,3.2523183822631836,3.244433879852295,3.2497239112854004,3.2411584854125977,3.233950614929199,3.243631601333618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA7,4.341392517089844,4.342761039733887,4.3404951095581055,4.339127063751221,4.354722023010254,4.330542087554932,4.341641426086426,4.343114852905273,4.352083206176758,4.341823577880859,4.325016021728516,4.351077079772949,4.350534439086914,4.350682258605957,4.348787784576416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA8,1.1794185638427734,1.1788859367370605,1.1106367111206055,1.2175031900405884,1.1856776475906372,1.0987566709518433,1.1205753087997437,1.2027958631515503,1.120384931564331,1.180378794670105,1.0856194496154785,1.0597176551818848,1.1193945407867432,1.220145583152771,1.156636118888855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,1.3717374801635742,1.3664703369140625,1.3647804260253906,1.3835726976394653,1.3643404245376587,1.3791422843933105,1.350239872932434,1.361548900604248,1.3723232746124268,1.3684148788452148,1.3459068536758423,1.3694701194763184,1.3436130285263062,1.3824619054794312,1.3765180110931396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10,4.347412109375,4.358214378356934,4.356663227081299,4.353699684143066,4.3635969161987305,4.38599967956543,4.3472676277160645,4.343111515045166,4.3667683601379395,4.378565311431885,4.3398847579956055,4.356898307800293,4.372610092163086,4.359837532043457,4.354613304138184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB8,6.367250442504883,6.390477180480957,6.404974937438965,6.383479595184326,6.371794700622559,6.37563943862915,6.350783824920654,6.371044635772705,6.364078044891357,6.358637809753418,6.382821083068848,6.374554634094238,6.363862991333008,6.366596221923828,6.393642425537109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,2.6180801391601562,2.631390333175659,2.647092819213867,2.645169973373413,2.6359975337982178,2.63023042678833,2.6417083740234375,2.614518165588379,2.6233057975769043,2.605438232421875,2.627593517303467,2.6249444484710693,2.620959758758545,2.639492988586426,2.620368003845215,9.570915222167969,9.599946975708008,9.588359832763672,9.598881721496582,9.57992172241211,9.571615219116211,9.567644119262695,9.571199417114258,9.584178924560547,9.555946350097656,9.573158264160156,9.585212707519531,9.551311492919922,9.560234069824219,9.59769344329834,9.55305290222168,9.575439453125,9.571979522705078,9.559741973876953,9.560524940490723,9.584227561950684,9.566207885742188,9.600624084472656,9.586320877075195,9.563213348388672,9.572320938110352,9.543782234191895,9.560604095458984,9.565396308898926,9.584009170532227,9.559503555297852,9.589506149291992,9.558128356933594,9.56009292602539,9.587115287780762,9.549314498901367,9.555710792541504,9.566059112548828,9.582700729370117,9.546289443969727,9.567951202392578
