1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
ABCB1,2.8232312202453613,2.8262195587158203,2.7622573375701904,2.7757294178009033,2.819517135620117,2.786508560180664,2.706137180328369,2.850180149078369,2.7372026443481445,2.8432421684265137,2.781790256500244,2.8220722675323486,2.8499326705932617,2.70936918258667,2.7428345680236816,2.8089466094970703,2.811521053314209,2.711923599243164,2.7648074626922607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.8932439088821411,0.946645975112915,0.9619019031524658,0.9252461194992065,0.9621275663375854,0.9780222773551941,0.9011825919151306,0.960338830947876,0.9254614114761353,0.9710890054702759,0.9100529551506042,0.8760260343551636,0.8982617855072021,0.9236623644828796,0.9652706384658813,0.9200652837753296,1.017077922821045,0.9174033403396606,0.9580793380737305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC10,2.5352938175201416,2.5645744800567627,2.5661916732788086,2.557699680328369,2.555530071258545,2.5600898265838623,2.524695873260498,2.5587875843048096,2.539531707763672,2.5533175468444824,2.545905113220215,2.541332721710205,2.5567221641540527,2.5458006858825684,2.529592514038086,2.5272154808044434,2.5834693908691406,2.5328197479248047,2.5399982929229736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,3.433807849884033,3.46358323097229,3.4913558959960938,3.4210476875305176,3.423442840576172,3.5030813217163086,3.405928611755371,3.4600043296813965,3.4632740020751953,3.418184757232666,3.4673609733581543,3.4161019325256348,3.425015449523926,3.44612455368042,3.4311110973358154,3.4400241374969482,3.4764490127563477,3.419496536254883,3.4776735305786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC4,2.890260696411133,2.908328056335449,2.9028468132019043,2.9300811290740967,2.922469139099121,2.912860870361328,2.9135961532592773,2.886361598968506,2.8945751190185547,2.9192354679107666,2.8835721015930176,2.9411532878875732,2.9059200286865234,2.927574634552002,2.909921169281006,2.8927316665649414,2.9127962589263916,2.9176955223083496,2.910043239593506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,3.1415443420410156,3.159658908843994,3.3038668632507324,3.187221050262451,3.181567907333374,3.197375774383545,3.221775531768799,3.1723153591156006,3.1422383785247803,3.170289993286133,3.1545159816741943,3.1706089973449707,3.1907026767730713,3.1764636039733887,3.1947102546691895,3.1399917602539062,3.0874462127685547,3.159395217895508,3.1720638275146484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD3,3.3006296157836914,3.3672380447387695,3.331089496612549,3.365285873413086,3.3535375595092773,3.3526763916015625,3.3841662406921387,3.349086284637451,3.2911057472229004,3.3991034030914307,3.384394645690918,3.401348829269409,3.418783187866211,3.371476173400879,3.3635106086730957,3.3653650283813477,3.4116034507751465,3.4267823696136475,3.339600086212158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCE1,4.449712753295898,4.441000938415527,4.467545032501221,4.435592174530029,4.430395126342773,4.45474910736084,4.3664655685424805,4.531895637512207,4.461714744567871,4.467612266540527,4.484756946563721,4.390048027038574,4.454775810241699,4.465664863586426,4.507421493530273,4.4562602043151855,4.485091686248779,4.478139877319336,4.434848785400391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF1,5.379367828369141,5.3578009605407715,5.4037652015686035,5.39874267578125,5.392212867736816,5.348993301391602,5.447380065917969,5.38062858581543,5.390133380889893,5.377296447753906,5.365126609802246,5.389822006225586,5.371523380279541,5.374382019042969,5.3268327713012695,5.389581203460693,5.335453510284424,5.398636817932129,5.396383762359619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG1,3.911360740661621,3.929440498352051,3.7897300720214844,3.7966723442077637,3.8875162601470947,3.84373140335083,3.729010581970215,3.9540014266967773,3.9393153190612793,3.8883471488952637,3.6762914657592773,3.8648674488067627,3.9162585735321045,3.8101274967193604,3.8864736557006836,3.844146251678467,4.047764778137207,3.9168028831481934,3.8834738731384277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG2,1.35420560836792,1.4202919006347656,1.395843267440796,1.381734848022461,1.3760476112365723,1.398817777633667,1.365146517753601,1.4128684997558594,1.3686697483062744,1.363754153251648,1.40073561668396,1.3664124011993408,1.343485951423645,1.2380306720733643,1.3837565183639526,1.2417142391204834,1.410118579864502,1.3653217554092407,1.4112013578414917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD10,3.051877498626709,3.0553171634674072,3.0612545013427734,3.012037754058838,3.073909044265747,3.043116569519043,3.0317142009735107,3.0788216590881348,3.053069591522217,3.0395307540893555,3.0522067546844482,3.0814311504364014,3.0576629638671875,3.0611653327941895,3.074064016342163,3.0323681831359863,3.044048309326172,3.0350570678710938,3.059873580932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD12,5.081684112548828,5.079544544219971,5.0113139152526855,5.1204328536987305,5.0861029624938965,5.110234260559082,5.056442737579346,5.012867450714111,4.966407775878906,4.994893550872803,5.038509368896484,4.938511848449707,4.965590953826904,4.998027324676514,4.835186004638672,5.103185653686523,5.063849449157715,5.19807243347168,5.089858531951904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD13,3.5626564025878906,3.6626815795898438,3.565345287322998,3.714470863342285,3.5393424034118652,3.5658998489379883,3.699864149093628,3.5450620651245117,3.6624720096588135,3.687312126159668,3.695084571838379,3.7041563987731934,3.633190393447876,3.6376445293426514,3.6081066131591797,3.7782769203186035,3.6020421981811523,3.7509355545043945,3.6105241775512695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14B,4.779029846191406,4.799981117248535,4.8096771240234375,4.786738395690918,4.847201347351074,4.868285179138184,4.764281272888184,4.844878673553467,4.7804670333862305,4.802302837371826,4.802102088928223,4.771523475646973,4.759425163269043,4.826886177062988,4.792972564697266,4.783059120178223,4.795952796936035,4.774209976196289,4.8036394119262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
