1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
ABCB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.276645660400391,7.2813591957092285,7.277244567871094,7.285935878753662,7.306512832641602,7.296809673309326,7.283908843994141,7.269000053405762,7.260471343994141,7.303995132446289,7.250895977020264,7.2672953605651855,7.268242835998535,7.271822929382324,7.249447822570801,7.265366077423096,7.297452926635742,7.258787631988525,7.264697074890137,7.272368907928467,7.28814697265625,7.268550395965576,7.261960029602051
ABCB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414645195007324,5.404576301574707,5.4054412841796875,5.390983581542969,5.413519859313965,5.404135704040527,5.373744010925293,5.369124889373779,5.420860290527344,5.418893814086914,5.38330078125,5.3940324783325195,5.400012969970703,5.388544082641602,5.414933204650879,5.3867950439453125,5.419734477996826,5.434692859649658,5.398005485534668,5.4161577224731445,5.4017486572265625,5.391932487487793,5.437046051025391
ABCC1,27.501850128173828,27.58179473876953,27.551158905029297,27.590087890625,27.542131423950195,27.627792358398438,27.55080795288086,27.546600341796875,27.547771453857422,27.573253631591797,27.58428955078125,27.49181365966797,27.54815101623535,27.57592010498047,27.522441864013672,27.546066284179688,27.545970916748047,27.579288482666016,27.589492797851562,3.3208842277526855,3.339895248413086,3.3331360816955566,3.3816347122192383,3.3213579654693604,3.354644298553467,3.327268362045288,3.322134494781494,3.3377845287323,3.339496612548828,3.29500150680542,3.3143112659454346,3.327535629272461,3.308459520339966,3.3402276039123535,3.3155527114868164,3.30489182472229,3.307404041290283,3.283573627471924,3.3412768840789795,3.3132896423339844,3.344910144805908,3.3126437664031982
ABCC10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2574310302734375,5.271227836608887,5.2548322677612305,5.2727556228637695,5.260127067565918,5.2581939697265625,5.262700080871582,5.2631683349609375,5.278872489929199,5.257531642913818,5.260845184326172,5.270294189453125,5.26255464553833,5.285600662231445,5.2487640380859375,5.269301414489746,5.2846832275390625,5.247157573699951,5.271547794342041,5.261832237243652,5.278591156005859,5.261669158935547,5.270687580108643
ABCC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010525226593018,5.012260913848877,5.010468006134033,5.021911144256592,5.007332801818848,5.013507843017578,5.008335590362549,5.006518840789795,4.996355056762695,5.001619338989258,5.008159160614014,5.011679649353027,5.001770973205566,5.005152225494385,4.997030258178711,5.015984535217285,5.018528938293457,4.9914093017578125,5.007268905639648,5.004149436950684,5.00905704498291,5.02523136138916,5.010272026062012
ABCC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.892186164855957,5.891453742980957,5.887375831604004,5.894301891326904,5.892132759094238,5.895316123962402,5.877045631408691,5.889400482177734,5.891307830810547,5.8819475173950195,5.883928298950195,5.881956577301025,5.8865790367126465,5.882087707519531,5.877538204193115,5.887423992156982,5.893428802490234,5.885347366333008,5.8921356201171875,5.898350238800049,5.884059906005859,5.889060974121094,5.89354944229126
ABCD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.533710479736328,5.539533615112305,5.546219825744629,5.554625511169434,5.539830207824707,5.547741413116455,5.540207386016846,5.536412239074707,5.532937526702881,5.543790817260742,5.536708831787109,5.544924736022949,5.538308143615723,5.547736167907715,5.540393829345703,5.5507121086120605,5.545141696929932,5.540971279144287,5.5488667488098145,5.547569751739502,5.542629718780518,5.555449485778809,5.541396141052246
ABCE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.601357460021973,4.630585670471191,4.6579999923706055,4.635242462158203,4.634072303771973,4.63725471496582,4.610369682312012,4.625670909881592,4.627107620239258,4.616816520690918,4.60670804977417,4.631433486938477,4.631990909576416,4.629103660583496,4.609482765197754,4.638912677764893,4.625653266906738,4.616006374359131,4.638424873352051,4.612972736358643,4.616635322570801,4.656155109405518,4.635499954223633
ABCF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.517603874206543,6.542152404785156,6.544787406921387,6.527013778686523,6.521491050720215,6.526813507080078,6.501386642456055,6.515329360961914,6.527667045593262,6.518261909484863,6.5334601402282715,6.524720191955566,6.539340019226074,6.521642684936523,6.5264573097229,6.529150485992432,6.539449691772461,6.550899505615234,6.540014266967773,6.551446914672852,6.543058395385742,6.547118186950684,6.53913688659668
