,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
RABAC1,1.30643896457984,-0.15568316584721,0.0474794014671918,-3.27896226650596,0.00104189566234564,0.00522399627678313,NOT_CHANGE
ATP1A3,0.0093819170776057,0.0552059164322943,0.65351119740432,0.0844758538974797,0.93267810000596,0.999999101432458,NOT_CHANGE
GRIK5,0.000102154055719325,0.00964883010299325,3.181540470023,0.0030327541623016,0.997580215986556,NA,NOT_CHANGE
ZNF574,0.051079858268157,0.0365965220669642,0.19807586215229,0.18476013013048,0.853417180940064,0.999999101432458,NOT_CHANGE
CTB-59C6.3,0.000101529576907044,0.00810272961132539,3.18154046849419,0.00254679445116735,0.997967954224572,NA,NOT_CHANGE
POU2F2,0.00723595743764204,0.0236040816864778,0.787363879164237,0.0299786189220831,0.976084105134098,0.999999101432458,NOT_CHANGE
DEDD2,0.179589993602008,-0.12568248191567,0.0833446910831894,-1.50798425529254,0.131558556719948,0.413707384017807,NOT_CHANGE
ZNF526,0.0436814576977083,0.0574756023544516,0.21946049670584,0.261894979812657,0.793402410106431,0.999999101432458,NOT_CHANGE
GSK3A,0.210445727143824,0.171236252665819,0.0813731196141862,2.10433437328814,0.0353492896637711,0.132321201149556,NOT_CHANGE
AC006486.1,0.0147206617700383,0.0364426675532647,0.505578709204093,0.0720810961573808,0.94253737016846,0.999999101432458,NOT_CHANGE
ERF,0.143780921005793,0.159878561872414,0.0971866780000477,1.64506664043333,0.0999560691332232,0.329780928829705,NOT_CHANGE
CIC,0.0682462644102889,0.0668443642188596,0.161794332790537,0.413144039509703,0.679501085134597,0.999999101432458,NOT_CHANGE
PAFAH1B3,0.926009101095079,0.968430641791264,0.0561650725893606,17.2425779429103,1.27234319037992e-66,7.26955001206255e-65,NOT_CHANGE
PRR19,0.00763132127400755,0.0163913227861316,0.705389309204367,0.0232372713510783,0.98146100838776,0.999999101432458,NOT_CHANGE
TMEM145,0.00453814850871964,0.0272963686456041,1.02524622315315,0.0266242079504121,0.978759464949123,0.999999101432458,NOT_CHANGE
MEGF8,0.0467555487592213,0.0891142876838718,0.213248335105507,0.417889722983213,0.676027746777116,0.999999101432458,NOT_CHANGE
CNFN,0.226169522582396,0.771482381285237,0.0802262384743813,9.61633495420074,6.82186228384307e-22,1.08126836873809e-20,NOT_CHANGE
CTB-50E14.6,0.0679308190520394,0.115741634654142,0.167678525913771,0.690259137378524,0.490031239928113,0.999999101432458,NOT_CHANGE
LIPE,0.0237099040541279,0.0517199369392067,0.337461526753868,0.153261728638267,0.878191880178852,0.999999101432458,NOT_CHANGE
CXCL17,0.028940011976961,0.154484729920279,0.471760125729938,0.327464576793663,0.743316530945863,0.999999101432458,NOT_CHANGE
CEACAM1,1.01748100793085,-0.0975754593043813,0.0772508436276825,-1.26309894782062,0.206553622102295,0.599182651285421,NOT_CHANGE
CEACAM8,0.006573536045255,0.0147611553582748,0.890004259595322,0.0165854884391077,0.98676730151549,0.999999101432458,NOT_CHANGE
PSG7,0.000101864958766416,0.00964883010299334,3.181540470023,0.00303275416230163,0.997580215986556,NA,NOT_CHANGE
CTC-490G23.6,0.000109672134645664,0.00810272961132539,3.18154046849419,0.00254679445116735,0.997967954224572,NA,NOT_CHANGE
PSG11,6.12233055528413e-05,0.00964883010299316,3.181540470023,0.00303275416230157,0.997580215986556,NA,NOT_CHANGE
PSG2,0.000607939697077316,0.0132077079930088,3.18154046985154,0.00415135627478759,0.996687706435836,NA,NOT_CHANGE
PSG5,0.000104759448941195,0.00810272961132539,3.18154046849419,0.00254679445116735,0.997967954224572,NA,NOT_CHANGE
PSG9,0.000196202752451172,0.0100936898389205,3.18154047000155,0.00317257942625372,0.997468652104318,NA,NOT_CHANGE
CTC-490G23.2,0.00314163460872208,-0.0176128508073756,1.43280366279125,-0.0122925780166307,0.990192188794284,0.999999101432458,NOT_CHANGE
CD177,0.0313837529107557,0.0728791164895588,0.500280246193482,0.145676582363744,0.884176708697518,0.999999101432458,NOT_CHANGE
TEX101,0.000693219132711023,0.0097989894230698,3.1815404669934,0.00307995121379989,0.99754255836374,NA,NOT_CHANGE
LYPD3,0.00648728913636298,0.0040796905844394,0.837265254435485,0.00487263810701195,0.996112212668406,0.999999101432458,NOT_CHANGE
PHLDB3,0.0365790334169256,0.0378589919580581,0.248750529331384,0.152196628726054,0.879031852876246,0.999999101432458,NOT_CHANGE
ETHE1,1.47877049189036,-0.806949855716161,0.0494602698773036,-16.3151122652175,7.70643839179191e-60,3.77771843715898e-58,NOT_CHANGE
ZNF575,0.0206463321814455,0.010170825388472,0.380064977076084,0.0267607540866254,0.978650555700493,0.999999101432458,NOT_CHANGE
XRCC1,0.0835195410560666,-0.15426773918383,0.138890998018199,-1.11071085516727,0.26669282823467,0.730532735844629,NOT_CHANGE
PINLYP,0.00115318217152267,0.0118995643704057,2.74562962344366,0.00433400203319515,0.996541977516899,NA,NOT_CHANGE
IRGQ,0.0974997220856755,0.180577506984617,0.12514606756609,1.44293392910052,0.149039084229519,0.459534912030926,NOT_CHANGE
ZNF576,0.133733484920063,-0.0241178783739719,0.0991020426291906,-0.243364089519462,0.807723360059077,0.999999101432458,NOT_CHANGE
SRRM5,0.000511882737874884,0.00657835384875325,3.18154046375264,0.00206766310964785,0.998350244703385,NA,NOT_CHANGE
ZNF428,0.273623728805616,0.0669846156385277,0.0685494652023295,0.977171965394872,0.328484024588843,0.854844459677265,NOT_CHANGE
CADM4,0.00998010784711923,-0.00232032648731304,0.602569074151176,-0.00385072282473445,0.996927575303235,0.999999101432458,NOT_CHANGE
PLAUR,0.466963125327411,-0.921455343214544,0.0897770772092491,-10.2638153508479,1.02572154053423e-24,1.8356616606894e-23,NOT_CHANGE
RN7SL368P,0.0553636971868047,-0.106533713236977,0.233858178541481,-0.455548375093842,0.648714773654963,0.999999101432458,NOT_CHANGE
AC006953.1,0.00105708122754697,0.0143361083222674,2.67591538624595,0.00535745950561597,0.995725386223945,NA,NOT_CHANGE
SMG9,0.0890743940758141,0.00569261641383825,0.132653726120891,0.0429133547945002,0.965770602971535,0.999999101432458,NOT_CHANGE
KCNN4,0.183717222667165,-0.140889395300151,0.0940463369531648,-1.49808487884344,0.134111199237225,0.420447991247479,NOT_CHANGE
AC115522.3,0.00066807820584326,0.011661607491201,3.18154046832267,0.00366539656097759,0.997075443223412,NA,NOT_CHANGE
LYPD5,0.0119684725561832,0.0163568020620814,0.572301482907469,0.0285807438047928,0.977198970028252,0.999999101432458,NOT_CHANGE
ZNF283,0.0243170606399703,0.0444986973157701,0.335606709201283,0.132591798959185,0.89451621863409,0.999999101432458,NOT_CHANGE
ZNF404,0.00327176503584195,0.0269612020118129,1.27269145094268,0.0211843978301596,0.983098560218592,0.999999101432458,NOT_CHANGE
RP11-15A1.3,0.00376360982589808,0.0215097326117215,1.18928103307218,0.0180863328461205,0.985569980978488,0.999999101432458,NOT_CHANGE
RP11-15A1.2,0.00108469166653252,0.0154374613190705,2.6646504825526,0.00579342822638493,0.995377538921964,NA,NOT_CHANGE
ZNF45,0.0157819925955262,0.0294237064091155,0.447272246224734,0.0657847802037138,0.947549173624057,0.999999101432458,NOT_CHANGE
ZNF221,0.000799665072236394,0.0107718880213536,3.18154046836551,0.00338574603355196,0.997298570674235,NA,NOT_CHANGE
ZNF155,0.00856312654089921,0.0290507459665717,0.680149182172672,0.042712314780372,0.96593086275413,0.999999101432458,NOT_CHANGE
RP11-15A1.7,0.002401218540147,0.0127829632085226,1.61763724742405,0.00790224336690964,0.993694987641793,0.999999101432458,NOT_CHANGE
ZNF230,0.017327400355548,0.0077025229365413,0.434046834470807,0.0177458336862018,0.985841616400753,0.999999101432458,NOT_CHANGE
ZNF222,0.00610161503714725,0.00646681456777929,0.877034762942371,0.00737349856701657,0.994116852643955,0.999999101432458,NOT_CHANGE
ZNF223,0.0065760047964464,-0.00408896057677124,0.866088745537478,-0.00472117966875751,0.996233057627428,0.999999101432458,NOT_CHANGE
ZNF284,0.00876736302675328,0.0394966625653871,0.683896456511773,0.0577524012433704,0.953945853159047,0.999999101432458,NOT_CHANGE
ZNF224,0.0787775689648569,0.0269970392343148,0.148285810679251,0.182060839878407,0.855534980317029,0.999999101432458,NOT_CHANGE
AC084219.4,0.00172555227909816,0.0103809323710869,2.10024513222982,0.00494272416670976,0.996056292756886,0.999999101432458,NOT_CHANGE
ZNF225,0.00688192109342228,0.0284851959898381,0.78288250762334,0.0363850203733801,0.970975358281495,0.999999101432458,NOT_CHANGE
ZNF234,0.0203925754064446,0.0639334136248948,0.380028920970711,0.168233021480547,0.866399963763435,0.999999101432458,NOT_CHANGE
ZNF226,0.0648699287774908,0.0214437529789238,0.174925393784267,0.122587993172506,0.902433362785657,0.999999101432458,NOT_CHANGE
ZNF227,0.0300174066255407,0.027495130790766,0.292776986090239,0.0939115166049682,0.925179445343642,0.999999101432458,NOT_CHANGE
ZNF235,0.00753046278757619,0.0170102822322345,0.762460011545475,0.0223097368709939,0.982200881916413,0.999999101432458,NOT_CHANGE
ZNF233,0.00396617426053223,0.0230565251007775,1.16899475774383,0.0197233776696115,0.984264041722268,0.999999101432458,NOT_CHANGE
ZNF112,0.00795936253705084,0.0156404222535814,0.733829074420503,0.0213134404165336,0.982995622373004,0.999999101432458,NOT_CHANGE
ZNF285,0.00545286620610704,0.0343949810343989,0.906632905917976,0.0379370534754346,0.969737869900933,0.999999101432458,NOT_CHANGE
ZNF229,0.00289587959383308,0.0171046347139906,1.32502407956444,0.0129089236775329,0.989700455155134,0.999999101432458,NOT_CHANGE
ZNF180,0.0248692557886306,0.0307400560494746,0.328058767312736,0.0937028944578408,0.92534517095165,0.999999101432458,NOT_CHANGE
CEACAM20,0.000214646475570194,0.00744631841647793,3.18154046691963,0.00234047578331998,0.998132572212464,NA,NOT_CHANGE
IGSF23,0.00333954754449876,-0.00721167829111057,1.25189419771166,-0.00576061324055406,0.995403721055615,0.999999101432458,NOT_CHANGE
CTB-171A8.1,0.00728373232944121,0.0172214383158478,0.769207152634906,0.0223885571745609,0.982138008117337,0.999999101432458,NOT_CHANGE
PVR,0.12035765077144,-0.0554499569177333,0.112241904976175,-0.494021880058996,0.621290727138048,0.999999101432458,NOT_CHANGE
CEACAM19,0.00790749913902926,0.0218385069483971,0.723880735854791,0.0301686532970231,0.975932548191875,0.999999101432458,NOT_CHANGE
CEACAM16,0.000197908258981265,0.0105385495753993,3.1815404699801,0.00331240469038109,0.99735708827143,NA,NOT_CHANGE
BCL3,0.174837686866748,-0.540602906442805,0.102437655328239,-5.27738461711724,1.3104066153927e-07,9.7585190134396e-07,NOT_CHANGE
SNORA70.24,6.37111494496263e-05,0.00964883010299316,3.181540470023,0.00303275416230157,0.997580215986556,NA,NOT_CHANGE
CBLC,0.221343639152416,-0.22509524044555,0.0750907412708113,-2.99764307338177,0.00272076115930611,0.0127496571699044,NOT_CHANGE
LLNLR-231D4.1,0.0230484366514016,0.0132620975521991,0.339450290628263,0.0390693362720451,0.968835108405476,0.999999101432458,NOT_CHANGE
BCAM,0.0261198834304428,-0.0366478691218059,0.332129027628558,-0.110342264822428,0.912137939406344,0.999999101432458,NOT_CHANGE
NECTIN2,0.32401640924284,-0.340632231044162,0.0676514445142295,-5.03510654487968,4.77583123506516e-07,3.41661835225981e-06,NOT_CHANGE
CTB-129P6.4,0.000900786615694026,0.0105603365611105,3.18154046676958,0.00331925262979071,0.997351624436339,NA,NOT_CHANGE
TOMM40,0.767240330329258,0.203071279245403,0.0626819818094776,3.23970738293884,0.00119652421103005,0.00593903914665241,NOT_CHANGE
APOE,0.0274419197596613,0.0403048673451127,0.382905737790787,0.105260546832376,0.916169068076377,0.999999101432458,NOT_CHANGE
APOC1,0.267611230308275,1.08930660831997,0.0850433511875038,12.8088391756607,1.46306885392167e-37,4.04965964934914e-36,UP
APOC2,0.00265541850079776,-0.0122152527050371,1.42742175925226,-0.00855756375147026,0.993172135340965,0.999999101432458,NOT_CHANGE
CTB-129P6.11,0.00058267300054586,0.00568863437821446,3.18154046379553,0.00178801258162469,0.998573373126752,NA,NOT_CHANGE
CLPTM1,0.262938923696144,-0.146547747945073,0.0714983369112369,-2.04966652758662,0.0403969835207323,0.149364622934549,NOT_CHANGE
RELB,0.106914164307931,-0.402883028500056,0.129550528911834,-3.10985244046544,0.00187180827876026,0.00901110777409436,NOT_CHANGE
CLASRP,0.133437896594644,-0.056304437501383,0.0976651002621857,-0.576505193259738,0.564273760647235,0.999999101432458,NOT_CHANGE
RNU6-611P,0.000205074237183734,0.0100936898389208,3.18154047000155,0.00317257942625381,0.997468652104318,NA,NOT_CHANGE
ZNF296,0.0472682647267819,0.0198911995806485,0.216947521357917,0.0916866874354942,0.926946974723867,0.999999101432458,NOT_CHANGE
CTB-179K24.3,0.00246236809795487,0.00555673505208083,1.54904971990133,0.00358718960449816,0.997137842936239,0.999999101432458,NOT_CHANGE
GEMIN7,0.234551075544595,0.212251331928038,0.0727059293817951,2.9193125475841,0.0035080430547747,0.0161348991412428,NOT_CHANGE
MARK4,0.0356856081918284,0.0846694086005998,0.255626310914112,0.331223371717194,0.740475767591509,0.999999101432458,NOT_CHANGE
PPP1R37,0.120691693889568,-0.0484923216957093,0.106820742772121,-0.453959787558838,0.649857770020861,0.999999101432458,NOT_CHANGE
