,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
DDIT4,2.3383225923122,-0.969317023956326,0.188926694622514,-5.13065147248289,2.88741099570026e-07,4.55001768817027e-06,NOT_CHANGE
RP11-442H21.2,0.00068787972331095,0.0433182304756364,3.6488237306318,0.0118718342330381,0.990527869258629,NA,NOT_CHANGE
DNAJB12,0.216777569085123,-0.174570443080453,0.224096778693877,-0.778995771817502,0.435982205446095,NA,NOT_CHANGE
MICU1,0.183593435762129,-0.113806823180495,0.254249463743519,-0.44761873439112,0.654428380147726,NA,NOT_CHANGE
MCU,0.0789035041171141,0.0901905461232263,0.480603007596022,0.187661218714297,0.851142233061798,NA,NOT_CHANGE
OIT3,0.0047631445955094,0.0631253114220588,3.34622043834119,0.0188646601696545,0.984949071620336,NA,NOT_CHANGE
PLA2G12B,0.000679343356794489,0.0433182304756361,3.6488237306318,0.011871834233038,0.990527869258629,NA,NOT_CHANGE
P4HA1,0.338093591780664,-1.35077512838822,0.188535622895711,-7.16456183527399,7.80357395671232e-13,3.66264519581175e-11,DOWN
RP11-344N10.5,0.00239842427237572,0.0379685274920642,3.64882372918951,0.010405689698937,0.991697610673192,NA,NOT_CHANGE
NUDT13,0.0164559986132736,0.0134003948469755,1.56328792665887,0.00857193010862393,0.993160673066812,NA,NOT_CHANGE
RP11-152N13.16,0.00170501394646578,0.0354725533432996,3.64882372991003,0.0097216407173975,0.992243375146263,NA,NOT_CHANGE
SNORA11.1,0.000343146495481701,0.0433182304756361,3.6488237306318,0.011871834233038,0.990527869258629,NA,NOT_CHANGE
ECD,0.112822104108043,-0.208253516270253,0.364013535010978,-0.572103771536882,0.567251674168707,NA,NOT_CHANGE
FAM149B1,0.0506760801020487,-0.0758615801608296,0.68273893681863,-0.111113598580335,0.911526265409943,NA,NOT_CHANGE
DNAJC9,0.160602785564196,-0.0820387222996383,0.321098591885258,-0.25549387126853,0.798341676598737,NA,NOT_CHANGE
DNAJC9-AS1,0.00144282974570264,0.0329765791996504,3.6488237306318,0.00903759173752701,0.992789143247392,NA,NOT_CHANGE
MRPS16,0.612569328028447,-0.452583893031481,0.135423883807911,-3.34197986577787,0.000831830943669739,0.00402878832296623,NOT_CHANGE
RP11-152N13.5,0.019243298383264,0.0564883905929037,1.37466066946198,0.0410926069595142,0.967222068418731,NA,NOT_CHANGE
CFAP70,0.00345314062060826,0.0557981012442934,3.6488237270354,0.0152920791516636,0.987799161667132,NA,NOT_CHANGE
ANXA7,0.70141601844012,-0.409354191005363,0.136241889512324,-3.00461328355501,0.00265918712005016,0.0107475479435361,NOT_CHANGE
MSS51,0.00501212792761263,0.0479570482732108,3.32198001729112,0.0144362843917156,0.98848191164359,NA,NOT_CHANGE
PPP3CB,0.247476490895098,-0.104382611593736,0.198369690873558,-0.526202421015365,0.598747572074375,0.731058224364936,NOT_CHANGE
