1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
ABCC4,6.114242077,6.116192818,6.088158607,6.131368637,6.106531143,6.100033283,6.103088379,6.101028442,6.086912155,6.104043484,6.082761765,6.098721027,6.115409851,6.082146645,6.116785526,6.121051311,6.086792469,6.103291988,6.046157837,6.096047401,6.070186138,6.098518848,6.081082344,6.096428871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD3,7.508496284,7.564474583,7.526512146,7.484276772,7.54867506,7.555619717,7.537850857,7.520737171,7.554130554,7.546338081,7.521969795,7.536723614,7.554923534,7.537169933,7.507357597,7.558846474,7.560211658,7.517035961,7.528778076,7.53178072,7.528326511,7.542999744,7.5266819,7.5903759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCE1,11.13239098,11.1601553,11.15153694,11.1476059,11.15021896,11.15148926,11.10502434,11.12748146,11.13978577,11.12471676,11.14266396,11.15781116,11.10958672,11.13651657,11.1280098,11.12136841,11.16254425,11.14254761,11.11521339,11.1328001,11.15372467,11.10717297,11.12630844,11.13926411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF2,8.547147751,8.567066193,8.568209648,8.586849213,8.586659431,8.540765762,8.543085098,8.544322968,8.578267097,8.523421288,8.534230232,8.572950363,8.5726614,8.576562881,8.57690239,8.585613251,8.56306076,8.54467392,8.580241203,8.535244942,8.549274445,8.559773445,8.567731857,8.553331375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG1,10.09827042,10.06937218,10.05121803,10.0937891,10.08261967,10.09922218,10.10268879,10.06657982,10.07346725,10.0472393,10.06127357,10.06129932,10.0905571,10.05461597,10.05789375,10.06819439,10.09781551,10.08356571,10.06985664,10.04783821,10.05182838,10.04690742,10.05343437,10.0413723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCG2,1.571562767,1.581684113,1.589580536,1.626221418,1.581108093,1.59161973,1.590411186,1.60469079,1.584425449,1.577954292,1.575877666,1.586824894,1.60940969,1.578775764,1.567970991,1.592954278,1.604218125,1.593898177,1.597786427,1.576841474,1.582642436,1.574777842,1.60032773,1.60048914,25.28117752,25.27735138,25.30302811,25.26245499,25.28687668,25.27157021,25.29909134,25.31086731,25.29984283,25.27906609,25.26240158,25.28861809,25.2503109,25.26590729,25.29021454,25.2533741,25.29962158,25.2868557,25.28284645,25.28538513,25.24901009,25.2377739
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,6.734913349,6.794644356,6.77009964,6.752436638,6.807608604,6.775161743,6.779702187,6.751590252,6.787534237,6.779306889,6.77770853,6.761869431,6.751544952,6.773909569,6.758762836,6.81247282,6.794056416,6.791621685,6.742153168,6.758979321,6.764098644,6.784554005,6.766769886,6.815885544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11,9.538797379,9.535718918,9.527281761,9.550315857,9.547306061,9.530669212,9.502719879,9.525952339,9.514135361,9.493309975,9.528986931,9.520421028,9.522096634,9.53768158,9.50120163,9.541103363,9.549865723,9.51269722,9.513669014,9.491312981,9.524810791,9.515710831,9.518964767,9.530054092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD12,13.85959148,13.85101891,13.87184906,13.87564182,13.86009502,13.86486149,13.85602856,13.87105179,13.8705616,13.85312653,13.85135651,13.84776783,13.88227272,13.87594223,13.86843109,13.87664032,13.87051105,13.88610649,13.82915878,13.84234619,13.85811615,13.85154152,13.86437607,13.83995247,0.014877513,0.058102474,0,0.006601796,0,0.02317974,0.003715694,0.014760017,0.000556335,0.031660095,0.001586042,0.015816078,0.001385376,0,0.01325433,0,0.011048056,0.009344786,0.015028045,0.016141176,0.01584807,0.000648141
ABHD14B,12.30463791,12.33805466,12.32933426,12.31494522,12.32493019,12.33038712,12.29592514,12.30370331,12.29128647,12.2722187,12.32539749,12.25566292,12.33454895,12.29711914,12.3251133,12.31859303,12.33465576,12.30714607,12.2916708,12.31076336,12.30287075,12.27574062,12.3022747,12.33151817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD15,7.742533207,7.75757885,7.724761486,7.753800392,7.710449219,7.741483212,7.727489471,7.716793537,7.755258083,7.730302334,7.755861282,7.759430885,7.727729321,7.70415163,7.727027893,7.748788357,7.746600151,7.766356468,7.753166676,7.696820259,7.728919029,7.730113029,7.718265533,7.743161678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,9.07941246,9.080760956,9.093236923,9.096611977,9.137000084,9.078749657,9.077615738,9.080983162,9.085482597,9.066667557,9.054761887,9.07440567,9.087506294,9.062026024,9.06595993,9.066473007,9.112171173,9.088068008,9.09380722,9.073904991,9.083716393,9.073998451,9.075339317,9.084698677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17C,7.758034706,7.732681751,7.748130798,7.751588821,7.732990742,7.772881508,7.763743401,7.734477997,7.720340729,7.729413033,7.747471809,7.738255978,7.742991924,7.733644009,7.748507023,7.745453835,7.742859364,7.74080801,7.737037659,7.727826118,7.764349461,7.768089294,7.748031616,7.776808739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,10.83296776,10.86559772,10.82196236,10.8261795,10.82586765,10.86149979,10.82367325,10.8227663,10.77688503,10.80308151,10.83805752,10.82674408,10.86317253,10.84109306,10.80891037,10.87569714,10.8410778,10.80326653,10.85758591,10.83455086,10.8354187,10.85070038,10.81786251,10.85754204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
