1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
ABCA8,0.751362801,0.761645257,0.82266736,0.776180804,0.76447618,0.668322682,0.851491272,0.746603727,0.737536132,0.790528297,0.772768319,0.815310061,0.789032102,0.670410991,0.760234892,0.842692852,0.806164742,0.847231865,0.821090937,0.801698923,0.841730118,0.753450513,0.80602169,0.752070248,5.127184868,5.128943443,5.103681087,5.14696312,5.135025978,5.134799004,5.117699623,5.14604044,5.14581728,5.105005264,5.125860214,5.113960266,5.146193504,5.146662235,5.14183712,5.13800621,5.136928082,5.143361092,5.128945827,5.138487816,5.128686905,5.136928558
ABCB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.540217876,6.521811485,6.537824154,6.567405224,6.541849613,6.515825748,6.534593582,6.541388512,6.549636841,6.549332619,6.532982349,6.532912254,6.534101486,6.557416439,6.552845001,6.520851135,6.554246426,6.553240776,6.546720982,6.545344353,6.522149563,6.554349422
ABCB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.570586205,5.534100056,5.545014381,5.564153671,5.535484314,5.554837227,5.547966957,5.575504303,5.527970791,5.550729752,5.537649155,5.539932251,5.536672592,5.560117722,5.55177927,5.559837341,5.548347473,5.563508034,5.551093102,5.555168152,5.559741974,5.551236153
ABCC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.027871132,2.04334116,2.024323702,2.000539541,2.041718721,2.046224117,2.05257988,2.043269157,2.04309988,2.025818586,2.038603783,2.043810129,2.062497854,2.041590691,2.055559635,2.044965267,2.037262201,2.019160748,2.055205107,2.031348705,2.038879871,2.034293175
ABCC2,1.504087925,1.499832869,1.507086635,1.500270128,1.498072147,1.492634773,1.50479424,1.4987396,1.508262992,1.500937223,1.497791052,1.501346231,1.494371295,1.504264474,1.502577782,1.495898843,1.506201029,1.504245639,1.512579679,1.510383129,1.501377702,1.498724103,1.494897842,1.502875686,5.382824898,5.365263939,5.37769413,5.388105869,5.36354208,5.365280151,5.380710602,5.390006542,5.361623764,5.380131721,5.371870041,5.346318722,5.349787712,5.391043663,5.366003036,5.401581764,5.372898579,5.374267101,5.366441727,5.363301754,5.36413765,5.366582394
ABCC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435553849,0.403055221,0.363878608,0.422516018,0.357766032,0.385623664,0.378511697,0.385265112,0.450635672,0.363932014,0.386171371,0.383365303,0.439730287,0.344370544,0.414966971,0.483222693,0.391163081,0.412118167,0.435207009,0.422722399,0.420427769,0.393772304
ABCC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.843520164,6.85410881,6.856222153,6.864573956,6.870461464,6.844659328,6.869990349,6.874411583,6.873926163,6.862078667,6.850971699,6.877064228,6.831110001,6.898385048,6.854598999,6.867815971,6.868583679,6.865716934,6.8549366,6.865360737,6.858289719,6.841831207
ABCD1,5.454380035,5.466693878,5.460836887,5.470863342,5.463357449,5.460418701,5.4731493,5.463833332,5.462068081,5.429535866,5.454224586,5.448347569,5.459525585,5.45986557,5.449426651,5.453984261,5.475619793,5.465734005,5.472596169,5.456009865,5.458004951,5.453015804,5.44723177,5.455307484,1.844545603,1.745107055,1.808381677,1.822755218,1.823939562,1.809697509,1.805416584,1.840272188,1.827296257,1.7932868,1.802647352,1.778876662,1.793810368,1.804853082,1.810161471,1.800353885,1.806469321,1.804513216,1.819129467,1.7908566,1.806491256,1.837599635
ABCD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05607748,7.051440239,7.045516014,7.059242249,7.052964211,7.06486702,7.056319237,7.038639545,7.049318314,7.056871891,7.043919563,7.048141956,7.073637009,7.020622253,7.031199455,7.050325394,7.071521759,7.075602531,7.047116756,7.056847572,7.04843235,7.045509338
ABCE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.828866005,5.852010727,5.856296062,5.851021767,5.855129242,5.840171814,5.873946667,5.861114025,5.855700493,5.854915619,5.850198746,5.855892658,5.86314249,5.855478764,5.870960712,5.84540081,5.839763165,5.85794735,5.86857605,5.849397659,5.848199844,5.862255096
