1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
ABHD15,2.132572651,1.963929534,1.836827755,1.808597803,1.925996184,2.053849697,1.847412229,1.834068894,2.180142879,1.936840534,1.896505117,1.981228113,2.168745995,1.915343046,1.604360819,1.984494925,2.090832949,2.063858747,1.940237403,1.963338852,2.114532471,1.881653666,1.678945065,1.6433779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17B,1.04542017,1.081443667,0.989672124,0.962426126,0.954425573,0.788656831,0.704632342,0.967932403,0.907463789,0.690840006,0.822129667,0.871328115,1.036497355,0.777614534,0.944332004,1.077485323,1.168945074,1.089071989,1.032464027,1.188995361,1.095872283,0.830490708,0.853530884,1.189332485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17C,1.629677057,1.67260468,1.544204473,1.464959741,1.568303704,1.26345396,1.433422565,1.726206064,1.480916142,1.169455528,1.294993639,1.519075513,1.642092466,1.396871448,1.626745105,1.663674355,1.690764546,1.646157265,1.555534482,1.633820772,1.754899979,1.516933441,1.410635352,1.365351439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,0.712015271,0.664962471,0.699263394,0.409645081,0.597386837,0.262078941,0.300043046,0.684115767,0.268873811,0,0.344396561,0.459617585,0.46762076,0.444807768,0.451985925,0.326237202,0.505944967,0.172231525,0.284447581,0.242165416,0.210213244,0,0.06996882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD3,0.81623131,0.735085011,0.555749774,0.648209155,0.50499928,0.32123664,0.650181353,0.407127261,0.380184203,0.292553961,0.366775453,0.344344139,0.745393097,0.302321911,0.333558291,0.776734829,0.890576959,0.858155251,0.618910611,0.730579734,0.842071891,0.565768123,0.82183373,0.72001034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD6,1.95954299,1.963249683,1.743504763,1.637252092,1.652029991,1.613288045,1.525997639,1.610181808,1.343561053,1.325864077,1.421851635,1.682007074,1.698136806,1.521121383,1.655969143,1.772411704,1.899267077,1.788393974,1.948611021,2.037214518,1.899826646,1.509422541,1.534152389,1.320219398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,0.3161228,0.191574961,0.214473486,0.063121498,0.207400739,0,0,0.199305952,0.208765179,0,0,0.134022117,0.344965994,0,0.162383139,0.240132123,0.421115696,0.299758315,0.39609319,0.389570236,0.246406853,0.338590741,0.291489631,0.106915355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI2,0,0,0,0,0,0,0,0.202085972,0,0,0,0,0,0,0,0,0,0,0,0.136451811,0,0.200527281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,0,0.576634228,0,0,0,0,0,0.698705316,0,0,0,0,0.540288329,0,0,0.330007315,0,0,0.488479525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
